id,name,slug,release_date,median_output_tokens_per_second,median_time_to_first_token_seconds,median_time_to_first_answer_token,model_creator_id,model_creator_name,model_creator_slug,evaluations_artificial_analysis_intelligence_index,evaluations_artificial_analysis_coding_index,evaluations_artificial_analysis_math_index,evaluations_mmlu_pro,evaluations_gpqa,evaluations_hle,evaluations_livecodebench,evaluations_scicode,evaluations_math_500,evaluations_aime,evaluations_aime_25,evaluations_ifbench,evaluations_lcr,pricing_price_1m_blended_3_to_1,pricing_price_1m_input_tokens,pricing_price_1m_output_tokens
b5c1c91a-7474-4409-9a9c-9c2ac45d9eb6,GPT-4o mini,gpt-4o-mini,2024-07-18,63.107,0.461,0.461,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,24.3,23.1,45.3,0.648,0.426,0.04,0.234,0.229,0.789,0.117,0.147,0.31,,0.263,0.15,0.6
16c5b637-8bce-4252-81f2-1b87a36a4e4c,o3,o3,2025-04-16,222.519,13.957,13.957,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,67.1,59.7,94.8,0.853,0.827,0.2,0.784,0.41,0.992,0.903,0.883,0.714,0.693,3.5,2.0,8.0
4c111fbc-d13a-42b4-858c-1dc17fe3c1d1,Grok-1,grok-1,2024-03-17,,,,a1e3ddcf-d3e4-44a5-9e8f-029a69850875,xAI,xai,21.2,,,,,,,,,,,,,0.0,0.0,0.0
076f2674-bc4b-4925-be59-50832eb8c090,o3-mini (high),o3-mini-high,2025-01-31,155.663,44.17,44.17,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,55.5,56.6,92.2,0.802,0.773,0.123,0.734,0.398,0.985,0.86,,,,1.925,1.1,4.4
f0083258-8646-45b8-8082-7aaf6c2ea82a,gpt-oss-120B,gpt-oss-120b,2025-08-05,198.888,0.417,10.472,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,61.3,50.1,,0.808,0.782,0.185,0.639,0.362,,,0.934,0.69,0.507,0.263,0.15,0.6
36f73aaf-d38a-4b56-a2b3-d04d17186910,gpt-oss-20B,gpt-oss-20b,2025-08-05,261.216,0.416,8.072,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,49.0,53.7,,0.736,0.617,0.085,0.721,0.354,,,0.617,0.605,0.187,0.087,0.05,0.2
9f7c7566-a704-49a2-a383-cb3181da33a4,GPT-4.1 mini,gpt-4-1-mini,2025-04-14,93.798,0.412,0.412,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,42.2,44.3,67.8,0.781,0.664,0.046,0.483,0.404,0.925,0.43,,,,0.7,0.4,1.6
8eb02396-f231-4189-ae15-05f7facebd9b,GPT-5 nano,gpt-5-nano,2025-08-07,215.523,31.042,31.042,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,53.8,47.1,,0.772,0.67,0.076,0.603,0.338,,,0.783,0.659,0.4,0.138,0.05,0.4
84b49308-6b93-47aa-a4f6-776ee1a1e8cd,o4-mini (high),o4-mini,2025-04-16,123.123,41.632,41.632,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,65.0,63.5,96.4,0.832,0.784,0.175,0.804,0.465,0.989,0.94,0.907,0.687,0.55,1.925,1.1,4.4
7f3c9423-3ee3-4369-a6d9-3f2a40aff00e,GPT-5 (low),gpt-5-low,2025-08-07,199.422,16.84,16.84,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,openai,63.4,57.0,90.9,0.86,0.808,0.184,0.749,0.391,0.987,0.83,0.83,0.666,0.587,3.438,1.25,10.0
